2.999998 	 0.000000,0.000000,2.088001 	 0.100000, 0.000000, 4.088001
3.039998 	 0.000000,0.000000,2.063681 	 0.100000, 0.000000, 4.063681
3.079998 	 0.000000,0.000000,2.039041 	 0.100000, 0.000000, 4.039041
3.119998 	 0.000000,0.000000,2.014081 	 0.100000, 0.000000, 4.014081
3.159998 	 0.000000,0.000000,1.988801 	 0.100000, 0.000000, 3.988801
3.199998 	 0.000000,0.000000,1.963201 	 0.100000, 0.000000, 3.963201
3.239998 	 0.000000,0.000000,1.937281 	 0.100000, 0.000000, 3.937281
3.279998 	 0.000000,0.000000,1.911041 	 0.100000, 0.000000, 3.911041
3.319998 	 0.000000,0.000000,1.884481 	 0.100000, 0.000000, 3.884480
3.359998 	 0.000000,0.000000,1.857601 	 0.100000, 0.000000, 3.857600
3.399998 	 0.000000,0.000000,1.830401 	 0.100000, 0.000000, 3.830400
3.439998 	 0.000000,0.000000,1.802881 	 0.100000, 0.000000, 3.802881
3.479998 	 0.000000,0.000000,1.775041 	 0.100000, 0.000000, 3.775041
3.519998 	 0.000000,0.000000,1.746881 	 0.100000, 0.000000, 3.746881
3.559998 	 0.000000,0.000000,1.718401 	 0.100000, 0.000000, 3.718400
3.599998 	 0.000000,0.000000,1.689601 	 0.100000, 0.000000, 3.689600
3.639998 	 0.000000,0.000000,1.660481 	 0.100000, 0.000000, 3.660480
3.679998 	 0.000000,0.000000,1.631041 	 0.100000, 0.000000, 3.631041
3.719998 	 0.000000,0.000000,1.601281 	 0.100000, 0.000000, 3.601281
3.759998 	 0.000000,0.000000,1.571201 	 0.100000, 0.000000, 3.571201
3.799998 	 0.000000,0.000000,1.540801 	 0.100000, 0.000000, 3.540801
3.839998 	 0.000000,0.000000,1.510081 	 0.100000, 0.000000, 3.510081
3.879997 	 0.000000,0.000000,1.479041 	 0.100000, 0.000000, 3.479041
3.919997 	 0.000000,0.000000,1.447681 	 0.100000, 0.000000, 3.447681
3.959997 	 0.000000,0.000000,1.416001 	 0.100000, 0.000000, 3.416001
3.999997 	 0.000000,0.000000,1.384001 	 0.100000, 0.000000, 3.384001
4.039998 	 0.000000,0.000000,1.351681 	 0.100000, 0.000000, 3.351681
4.079998 	 0.000000,0.000000,1.319041 	 0.100000, 0.000000, 3.319041
4.119998 	 0.000000,0.000000,1.286080 	 0.100000, 0.000000, 3.286081
4.159997 	 0.000000,0.000000,1.252800 	 0.100000, 0.000000, 3.252801
4.199997 	 0.000000,0.000000,1.219200 	 0.100000, 0.000000, 3.219201
4.239997 	 0.000000,0.000000,1.185280 	 0.100000, 0.000000, 3.185281
4.279997 	 0.000000,0.000000,1.151040 	 0.100000, 0.000000, 3.151041
4.319997 	 0.000000,0.000000,1.116480 	 0.100000, 0.000000, 3.116481
4.359997 	 0.000000,0.000000,1.081600 	 0.100000, 0.000000, 3.081601
4.399997 	 0.000000,0.000000,1.046400 	 0.100000, 0.000000, 3.046401
4.439997 	 0.000000,0.000000,1.010880 	 0.100000, 0.000000, 3.010880
4.479997 	 0.000000,0.000000,0.975040 	 0.100000, 0.000000, 2.975040
4.519997 	 0.000000,0.000000,0.938880 	 0.100000, 0.000000, 2.938880
4.559997 	 0.000000,0.000000,0.902400 	 0.100000, 0.000000, 2.902400
4.599997 	 0.000000,0.000000,0.865600 	 0.100000, 0.000000, 2.865601
4.639997 	 0.000000,0.000000,0.828480 	 0.100000, 0.000000, 2.828480
4.679997 	 0.000000,0.000000,0.791040 	 0.100000, 0.000000, 2.791040
4.719997 	 0.000000,0.000000,0.753280 	 0.100000, 0.000000, 2.753280
4.759997 	 0.000000,0.000000,0.715200 	 0.100000, 0.000000, 2.715200
4.799997 	 0.000000,0.000000,0.676800 	 0.100000, 0.000000, 2.676800
4.839997 	 0.000000,0.000000,0.638080 	 0.100000, 0.000000, 2.638080
4.879997 	 0.000000,0.000000,0.599040 	 0.100000, 0.000000, 2.599040
4.919997 	 0.000000,0.000000,0.559680 	 0.100000, 0.000000, 2.559680
4.959997 	 0.000000,0.000000,0.520000 	 0.100000, 0.000000, 2.520000
4.999997 	 0.000000,0.000000,0.480000 	 0.100000, 0.000000, 2.480000
5.039997 	 0.000000,0.000000,0.515841 	 0.100000, 0.000000, 2.439680
5.079997 	 0.000000,0.000000,0.551361 	 0.100000, 0.000000, 2.399040
5.119997 	 0.000000,0.000000,0.586562 	 0.100000, 0.000000, 2.358080
5.159997 	 0.000000,0.000000,0.621442 	 0.100000, 0.000000, 2.316800
5.199996 	 0.000000,0.000000,0.656003 	 0.100000, 0.000000, 2.275200
5.239996 	 0.000000,0.000000,0.690243 	 0.100000, 0.000000, 2.233280
